Sample_ID,Method_R1,Coef_np_R1,Coef_OLS_R1,Standard_Error_R1,Data_Points_Used_R1,Diff_R1,Data_Points_R1,smaller_than_R1,Method_R2,Coef_np_R2,Coef_OLS_R2,Standard_Error_R2,Data_Points_Used_R2,Diff_R2,smaller_than_R2,larger_than_R2
62-6,2,2.2938834918856954,2.2938834918856954,0.20651179904175215,3,0,7.0,0.0,2,2.256519411670294,2.2565194116702934,0.20256365131766862,3,0,0.0,0.0
62-7,2,34.94206016198082,34.94206016198082,1.6273840003841178,4,0,5.0,0.0,2,34.02485620679526,34.024856206795256,1.5821639268616534,4,0,0.0,0.0
63-1,2,176.3317944134738,176.3317944134738,5.4460555402041155,4,0,6.0,0.0,2,173.60857670962844,173.60857670962844,4.6840056866209725,4,0,0.0,0.0
63-2,2,39.65439091435882,39.654390914358814,3.2259462606300056,3,0,5.0,0.0,2,39.810931227876594,39.810931227876594,2.497982438631177,3,0,0.0,0.0
63-3,2,23.733683269278092,23.733683269278092,0.0,2,0,5.0,0.0,2,24.857998342074584,24.857998342074584,0.0,2,0,0.0,0.0
63-4,2,20.783342087036967,20.783342087036967,0.0,2,0,4.0,0.0,2,20.708445014084788,20.708445014084788,0.0,2,0,0.0,0.0
63-5,2,71.42719500791299,71.42719500791299,5.647501548879925,4,0,5.0,0.0,2,71.717730358187,71.717730358187,5.416260166890363,4,0,0.0,0.0
63-6,2,27.451434178292498,27.4514341782925,0.9822256061705854,3,0,4.0,0.0,2,26.791593980710456,26.791593980710456,1.3080959878652842,3,0,0.0,0.0
63-7,2,16.205378477667914,16.205378477667914,0.1943382688720308,3,0,5.0,0.0,2,15.928731601418477,15.928731601418475,0.07243391962238084,3,0,0.0,0.0
63-8,2,21.5897747542585,21.5897747542585,0.6933463601159663,5,0,5.0,0.0,2,21.043648035112817,21.043648035112813,0.659638587239191,5,0,0.0,0.0
63-9,2,1.2369416017432446,1.2369416017432446,2.249452540115761e-16,2,0,4.0,0.0,2,1.323305937071128,1.3233059370711275,4.453345116268841e-16,2,0,0.0,0.0
63-10,2,3.736221630115882,3.736221630115882,0.0741872656761277,5,0,6.0,0.0,2,3.730250692573633,3.730250692573633,0.06463297023566102,5,0,0.0,0.0
63-11,2,3.1696672222170545,3.1696672222170545,0.13275107064239577,5,0,6.0,0.0,2,3.148524061258776,3.148524061258775,0.12974032928692758,5,0,0.0,0.0
63-12,2,2.026902431564548,2.026902431564548,0.022624871824704525,3,0,6.0,0.0,2,2.022970647034479,2.022970647034479,0.01583677054885671,3,0,0.0,0.0
63-13,2,33.35496284280209,33.35496284280209,2.5173457770649286,6,0,6.0,0.0,2,33.60650059132337,33.60650059132337,0.9673040987703163,4,0,0.0,0.0
63-14,2,7.6921091631235505,7.692109163123551,0.15882213743529575,3,0,5.0,0.0,2,7.588221891930651,7.588221891930652,0.22554363615126952,3,0,0.0,0.0
63-15,2,11.342587920325832,11.342587920325832,0.44928891706905,5,0,5.0,0.0,2,10.314362082393814,10.314362082393814,0.2619879178720859,4,0,0.0,0.0
63-16,2,10.24696332548348,10.246963325483481,0.2550080720400706,5,0,5.0,0.0,2,10.012691019539215,10.012691019539215,0.24549985102416755,5,0,0.0,0.0
63-17,2,8.081022975448777,8.081022975448777,0.0,2,0,2.0,0.0,2,8.379600103729148,8.379600103729148,0.0,2,0,0.0,0.0
63-18,2,6.5769693638064695,6.5769693638064695,0.3991153417145435,4,0,5.0,0.0,2,6.532408779909964,6.532408779909965,0.4519125909188241,4,0,0.0,0.0
63-19,2,8.625953860915118,8.625953860915118,0.32675734656683597,3,0,5.0,0.0,2,8.420477986531836,8.420477986531836,0.35867143371538923,3,0,0.0,0.0
63-20,2,7.642868855960431,7.642868855960431,0.03726396349455616,3,0,5.0,0.0,2,7.514825610666336,7.514825610666335,0.07897403704777749,3,0,0.0,0.0
64-1,2,328.8791678103432,328.8791678103431,34.617209464957455,6,0,6.0,0.0,2,271.0981514715184,271.0981514715184,34.920912804356675,6,0,0.0,0.0
64-2,2,28.442462208984843,28.442462208984843,0.8289089197457534,6,0,7.0,0.0,2,27.54636972770039,27.546369727700387,0.9859615094559905,6,0,0.0,0.0
64-3,2,5.926972487998855,5.926972487998855,0.39460718140680034,6,0,6.0,0.0,2,5.833818448426578,5.833818448426577,0.40743773917440457,6,0,0.0,0.0
65-1,2,1.604113460982219,1.604113460982219,0.2147168114396253,3,0,3.0,0.0,3,1.6852064826038518,1.6852064826038518,0.18604609869184335,3,0,0.0,0.0
66-1,2,13.804635334481146,13.804635334481144,1.3435699782563386,20,0,20.0,0.0,2,13.916434445351843,13.916434445351843,1.3085408192030703,21,0,0.0,0.0
67-1,2,6.579938897549019,6.5799388975490185,0.1543048612345427,11,0,12.0,0.0,2,6.6319716522426955,6.6319716522426955,0.24379108296377675,6,0,0.0,0.0
68-1,2,218.5720930536295,218.5720930536295,0.0,2,0,4.0,0.0,2,218.5720930536295,218.5720930536295,0.0,2,0,0.0,0.0
68-2,2,187.56997178145167,187.56997178145164,3.947459643111667e-14,2,0,4.0,0.0,2,187.56997178145167,187.56997178145164,3.947459643111667e-14,2,0,0.0,0.0
68-3,2,167.65812880406338,167.65812880406338,1.9032394707859825e-14,2,0,4.0,0.0,2,167.65812880406338,167.65812880406338,1.9032394707859825e-14,2,0,0.0,0.0
68-4,2,141.37925914268317,141.37925914268317,0.0,2,0,4.0,0.0,2,141.37925914268317,141.37925914268317,0.0,2,0,0.0,0.0
68-5,2,64.44741932963176,64.44741932963176,4.122402425873326,5,0,0.0,0.0,2,66.01040332688983,66.01040332688984,4.643704037643516,3,0,0.0,0.0
68-6,2,51.16149955318797,51.16149955318797,0.0,2,0,2.0,0.0,2,51.16149955318797,51.16149955318797,0.0,2,0,0.0,0.0
68-7,2,93.09054353779402,93.09054353779402,0.0,2,0,2.0,0.0,2,93.09054353779402,93.09054353779402,0.0,2,0,0.0,0.0
69-1,0,3.106203932629978,3.106203932629978,0.0,0,0,0.0,0.0,0,-3.233845602023,-3.233845602023,0.0,0,0,0.0,0.0
69-2,0,7.320199860790245,7.320199860790245,0.0,0,0,0.0,0.0,0,-7.753325457484,-7.753325457484,0.0,0,0,0.0,0.0
69-3,0,34.54903857561566,34.54903857561566,0.0,0,0,0.0,0.0,0,-36.217223188192,-36.217223188192,0.0,0,0,0.0,0.0
69-4,0,57.23062931578159,57.23062931578159,0.0,0,0,0.0,0.0,0,-56.950815708281,-56.950815708281,0.0,0,0,0.0,0.0
69-5,0,30.069499620093477,30.069499620093477,0.0,0,0,0.0,0.0,0,-29.128216152024,-29.128216152024,0.0,0,0,0.0,0.0
69-6,0,29.95968873967417,29.95968873967417,0.0,0,0,0.0,0.0,0,-31.230277355732,-31.230277355732,0.0,0,0,0.0,0.0
69-7,0,2.378666834055625,2.378666834055625,0.0,0,0,0.0,0.0,0,-2.519776607065,-2.519776607065,0.0,0,0,0.0,0.0
69-8,0,12.152998340501718,12.152998340501718,0.0,0,0,0.0,0.0,0,-11.966436945834,-11.966436945834,0.0,0,0,0.0,0.0
69-9,0,109.90875991832436,109.90875991832436,0.0,0,0,0.0,0.0,0,-115.137740669716,-115.137740669716,0.0,0,0,0.0,0.0
69-10,0,48.8987631077255,48.8987631077255,0.0,0,0,0.0,0.0,0,-48.853227509939,-48.853227509939,0.0,0,0,0.0,0.0
69-11,0,381.56244187797483,381.56244187797483,0.0,0,0,0.0,0.0,0,-388.666901277332,-388.666901277332,0.0,0,0,0.0,0.0
71-1,2,14.188175528254508,14.188175528254508,2.220446049250313e-15,2,0,5.0,,2,13.0046175450924,13.0046175450924,0.0,2,0,0.0,0.0
71-2,2,7.235330683155263,7.235330683155263,1.1386902816668271e-15,2,0,3.0,,2,7.239958305136662,7.239958305136661,2.2528723750916844e-15,2,0,0.0,0.0
71-3,2,4.208494943681028,4.208494943681028,0.0,2,0,2.0,,2,3.6967641825692534,3.6967641825692534,0.0,2,0,0.0,0.0
71-4,2,3.393589369292096,3.393589369292096,0.0,2,0,2.0,,2,3.451409947181245,3.451409947181245,5.662453773291597e-16,2,0,0.0,0.0
71-5,2,27.94487770212209,27.94487770212209,0.0,2,0,7.0,,2,29.14985915705281,29.14985915705281,0.0,2,0,0.0,0.0
71-6,2,9.495285693236374,9.495285693236374,0.0,2,0,6.0,,2,9.314959234040698,9.314959234040698,1.8503717077085944e-15,2,0,0.0,0.0
71-7,2,5.992722571611798,5.992722571611798,0.0,2,0,5.0,,2,6.187469979819871,6.187469979819871,0.0,2,0,0.0,0.0
71-8,2,4.288728850476417,4.288728850476417,0.0,2,0,4.0,,2,4.1546024119351435,4.1546024119351435,0.002486894431416672,2,0,0.0,0.0
71-9,2,0.7822167405972689,0.7822167405972689,0.015594254802460206,6,0,7.0,,2,0.7822167405972689,0.7822167405972689,0.015594254802460206,6,0,0.0,0.0
71-10,2,0.621542859521323,0.621542859521323,0.017002619513312348,5,0,6.0,,2,0.621542859521323,0.621542859521323,0.017002619513312348,5,0,0.0,0.0
71-11,2,0.5947962629853287,0.5947962629853287,0.009045567097949372,6,0,7.0,,2,0.5947962629853287,0.5947962629853287,0.009045567097949372,6,0,0.0,0.0
71-12,2,0.366987809805136,0.36698780980513607,0.0034532529149265846,4,0,5.0,,2,0.3564069887095323,0.35640698870953225,0.003852387534387315,5,0,0.0,0.0
71-13,2,0.33783946772311,0.33783946772311,0.01064167528748514,3,0,4.0,,2,0.33783946772311,0.33783946772311,0.01064167528748514,3,0,0.0,0.0
72-1,1,3.5173709828478392,3.5173709828478383,0.09413885548965985,2,0,5.0,0.0,1,3.3921618349604437,3.3921618349604437,0.0,2,0,0.0,0.0
72-2,1,3.676694743935967,3.6766947439359665,0.08345913433982474,3,0,5.0,0.0,1,3.5786216881260393,3.578621688126039,0.05463276905253814,3,0,0.0,0.0
72-3,1,4.160330917650582,4.160330917650582,0.1381720006931993,5,0,5.0,0.0,1,4.116806243645671,4.116806243645671,0.07758553372543472,5,0,0.0,0.0
74-1,2,10.964690919019267,10.964690919019265,0.0,3,0,6.0,0.0,2,10.964690919019267,10.964690919019265,0.0,3,0,0.0,0.0
74-2,2,3.070113457325394,3.0701134573253936,1.0854490223434312,3,0,5.0,0.0,2,3.070113457325394,3.0701134573253936,1.0854490223434312,3,0,0.0,0.0
74-3,2,6.766798901751384,6.766798901751384,0.270691807535751,4,0,7.0,0.0,2,6.766798901751384,6.766798901751384,0.270691807535751,4,0,0.0,0.0
74-4,2,13.48676114353839,13.48676114353839,1.7080354225002407e-15,2,0,4.0,0.0,2,13.48676114353839,13.48676114353839,1.7080354225002407e-15,2,0,0.0,0.0
74-5,2,8.64276793025602,8.64276793025602,0.48647847674460204,3,0,3.0,0.0,2,8.64276793025602,8.64276793025602,0.48647847674460204,3,0,0.0,0.0
74-6,2,1.660061176683081,1.6600611766830808,0.16158702492169827,5,0,7.0,0.0,2,1.660061176683081,1.6600611766830808,0.16158702492169827,5,0,0.0,0.0
74-7,2,4.385876367607707,4.385876367607706,0.5662142043423107,4,0,4.0,0.0,2,4.385876367607707,4.385876367607706,0.5662142043423107,4,0,0.0,0.0
74-8,2,8.528092937014984,8.528092937014982,0.0,3,0,3.0,0.0,2,8.528092937014984,8.528092937014982,0.0,3,0,0.0,0.0
74-9,2,9.594104554141857,9.594104554141857,1.8503717077085944e-15,2,0,2.0,0.0,2,9.594104554141857,9.594104554141857,1.8503717077085944e-15,2,0,0.0,0.0
74-10,2,14.364569898347748,14.364569898347746,0.5357491029048914,3,0,3.0,0.0,2,14.364569898347748,14.364569898347746,0.5357491029048914,3,0,0.0,0.0
74-11,2,13.437823453293056,13.437823453293054,0.5011846446529631,3,0,3.0,0.0,2,13.437823453293056,13.437823453293054,0.5011846446529631,3,0,0.0,0.0
74-12,2,2.957365361153654,2.957365361153655,0.43398155134376715,4,0,6.0,0.0,2,3.070113457325394,3.0701134573253936,1.0854490223434312,3,0,0.0,0.0
74-13,2,1.6956345964638773,1.6956345964638775,0.33155697007035123,5,0,6.0,0.0,2,1.6956345964638773,1.6956345964638775,0.33155697007035123,5,0,0.0,0.0
74-14,2,5.039375566007323,5.039375566007323,0.0,2,0,3.0,0.0,2,5.039375566007323,5.039375566007323,0.0,2,0,0.0,0.0
74-15,2,1.4151907889807316,1.4151907889807314,0.17723332662167546,5,0,6.0,0.0,2,1.4151907889807316,1.4151907889807314,0.17723332662167546,5,0,0.0,0.0
74-16,2,3.809221873673135,3.8092218736731343,0.04019187588035596,3,0,4.0,0.0,2,3.809221873673135,3.8092218736731343,0.04019187588035596,3,0,0.0,0.0
74-17,2,3.830875167374932,3.8308751673749324,0.01747142622866569,4,0,9.0,0.0,2,3.830875167374932,3.8308751673749324,0.01747142622866569,4,0,0.0,0.0
74-18,2,53.726985503194385,53.726985503194385,5.427245111717156,3,0,4.0,0.0,2,53.726985503194385,53.726985503194385,5.427245111717156,3,0,0.0,0.0
74-19,2,14.195321985693731,14.195321985693731,0.0,2,0,2.0,0.0,2,14.195321985693731,14.195321985693731,0.0,2,0,0.0,0.0
74-20,2,8.223518189264444,8.223518189264444,2.2429892266911063e-15,3,0,3.0,0.0,2,8.223518189264444,8.223518189264444,2.2429892266911063e-15,3,0,0.0,0.0
74-21,2,18.790489584701074,18.790489584701074,0.7398439992496123,3,0,3.0,0.0,2,18.790489584701074,18.790489584701074,0.7398439992496123,3,0,0.0,0.0
